donut number = 1, In-ptr =  0, serial-counter =  120
donut number = 3, In-ptr =  37, serial-counter =  117
donut number = 2, In-ptr =  14, serial-counter =  134
donut number = 2, In-ptr =  15, serial-counter =  135
donut number = 3, In-ptr =  38, serial-counter =  118
donut number = 0, In-ptr =  6, serial-counter =  126
donut number = 2, In-ptr =  16, serial-counter =  136
donut number = 1, In-ptr =  1, serial-counter =  121
donut number = 1, In-ptr =  2, serial-counter =  122
donut number = 3, In-ptr =  39, serial-counter =  119
donut number = 3, In-ptr =  0, serial-counter =  120
donut number = 2, In-ptr =  17, serial-counter =  137
donut number = 0, In-ptr =  7, serial-counter =  127
donut number = 2, In-ptr =  18, serial-counter =  138
donut number = 3, In-ptr =  1, serial-counter =  121
donut number = 2, In-ptr =  19, serial-counter =  139
donut number = 3, In-ptr =  2, serial-counter =  122
donut number = 1, In-ptr =  3, serial-counter =  123
donut number = 0, In-ptr =  8, serial-counter =  128
donut number = 1, In-ptr =  4, serial-counter =  124
donut number = 3, In-ptr =  3, serial-counter =  123
donut number = 1, In-ptr =  5, serial-counter =  125
donut number = 1, In-ptr =  6, serial-counter =  126
donut number = 1, In-ptr =  7, serial-counter =  127
donut number = 0, In-ptr =  9, serial-counter =  129
donut number = 1, In-ptr =  8, serial-counter =  128
donut number = 2, In-ptr =  20, serial-counter =  140
donut number = 2, In-ptr =  21, serial-counter =  141
donut number = 2, In-ptr =  22, serial-counter =  142
donut number = 1, In-ptr =  9, serial-counter =  129
donut number = 0, In-ptr =  10, serial-counter =  130
donut number = 1, In-ptr =  10, serial-counter =  130
donut number = 1, In-ptr =  11, serial-counter =  131
donut number = 2, In-ptr =  23, serial-counter =  143
donut number = 1, In-ptr =  12, serial-counter =  132
donut number = 2, In-ptr =  24, serial-counter =  144
donut number = 1, In-ptr =  13, serial-counter =  133
donut number = 0, In-ptr =  11, serial-counter =  131
donut number = 3, In-ptr =  4, serial-counter =  124
donut number = 2, In-ptr =  25, serial-counter =  145
donut number = 1, In-ptr =  14, serial-counter =  134
donut number = 0, In-ptr =  12, serial-counter =  132
donut number = 3, In-ptr =  5, serial-counter =  125
donut number = 3, In-ptr =  6, serial-counter =  126
donut number = 2, In-ptr =  26, serial-counter =  146
donut number = 3, In-ptr =  7, serial-counter =  127
donut number = 2, In-ptr =  27, serial-counter =  147
donut number = 2, In-ptr =  28, serial-counter =  148
donut number = 1, In-ptr =  15, serial-counter =  135
donut number = 1, In-ptr =  16, serial-counter =  136
donut number = 0, In-ptr =  13, serial-counter =  133
donut number = 3, In-ptr =  8, serial-counter =  128
donut number = 3, In-ptr =  9, serial-counter =  129
donut number = 3, In-ptr =  10, serial-counter =  130
donut number = 1, In-ptr =  17, serial-counter =  137
donut number = 3, In-ptr =  11, serial-counter =  131
donut number = 1, In-ptr =  18, serial-counter =  138
donut number = 3, In-ptr =  12, serial-counter =  132
donut number = 1, In-ptr =  19, serial-counter =  139
donut number = 1, In-ptr =  20, serial-counter =  140
donut number = 0, In-ptr =  14, serial-counter =  134
donut number = 2, In-ptr =  29, serial-counter =  149
donut number = 0, In-ptr =  15, serial-counter =  135
donut number = 3, In-ptr =  13, serial-counter =  133
donut number = 1, In-ptr =  21, serial-counter =  141
donut number = 0, In-ptr =  16, serial-counter =  136
